"year","total_emissions","total_emissions_tons"
1988,5050,2.29066497323778
1989,5050,2.29066497323778
1990,4877,2.21219268801597
1991,4950,2.24530527079742
1992,5050,2.29066497323778
1993,5250,2.38138437811848
1994,5470,2.48117572348725
1995,2950,1.33811122199038
1996,2950,1.33811122199038
1997,2840,1.288215549306
1998,2850,1.29275151955003
1999,230,0.10432731561281
2000,320,0.145151047809126
2001,300,0.136079107321056
2002,370,0.167830899029302
2003,370,0.167830899029302
2004,460,0.208654631225619
2005,350,0.158758958541232
2006,360,0.163294928785267
2007,46,0.0208654631225619
